,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Original Comments,Line No,MachineStopType,Shift_Fosters/Green,Shift_Heineken/Orange,Shift_John Smiths/Pink,Shift_John Smiths/Yellow,Shift_Strongbow/Yellow,Year,Month,Day,Hour,DayOfWeek,IsWeekend,cleaned_comments,uncorrectable_words,lemmatized,Cluster
11,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20,Head 48 intermitantly not filling found V/V sliding arms sticking and slight burrs cleaned & monitoring Sam Garnett attended,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,7,11,4,FALSE,head intermitantly not filling found vv sliding arms sticking and slight burrs cleaned monitoring sam garnett attended,{},head intermittently fill find v slide arm sticking slight burr clean monitor sam garnet attend,0
12,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20,heads 22 and 25 purge valves sticking,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,7,20,4,FALSE,heads and purge valves sticking,{},head purge valve stick,0
13,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,head no1 purge valve sticking,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,7,21,4,FALSE,head purge valve sticking,{},head purge valve stick,0
14,Machine Stop,Filler,Filling heads,Underfilling Head (Change),52,crafts changing head 48,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,8,0,5,TRUE,crafts changing head ,{},craft change head,3
15,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,crafts checking purge valves heads 9/11/15/16/30 sticking,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,8,2,5,TRUE,crafts checking purge valves heads sticking,{},craft check purge valve head stick,0
16,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,Filler heads #1 + #48 causing issues under filliing. Crafts in attendence crafts lubricated purge valves sticking continue to monitor and report any issues.,17,Breakdown,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,8,13,5,TRUE,filler heads causing issues under filliing crafts in attendence crafts lubricated purge valves sticking continue to monitor and report any issues,{},filler head cause issue fill craft attendance craft lubricate purge valve stick continue monitor report issue,0
17,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),15,Head 1 still underfilling crafts investigating. Crafts changed fibre washer continue to monitor and report any issues.,17,Breakdown,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,8,14,5,TRUE,head still underfilling crafts investigating crafts changed fibre washer continue to monitor and report any issues,{},head undersell craft investigate craft change fibre washer continue monitor report issue,2
18,Machine Stop,Filler,Bowl pressure,Fault not listed,2,Pressure drop.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,8,14,5,TRUE,pressure drop,{},pressure drop,3
19,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),5,investigating underfilling head,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,8,21,5,TRUE,investigating underfilling head,{},investigate underselling head,0
20,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),13,Investigating Head No 1 rejecting cans,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,8,22,5,TRUE,investigating head no rejecting cans,{},investigate head reject can,0
21,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),10,Changed centering bell on head No1,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,8,22,5,TRUE,changed centering bell on head ,{},change center bell head,0
22,Machine Stop,Filler,Filling heads,Fault not listed,67,Underfilling/Empty cans getting into seamer causing massive crashes ongoing issue crafts investigating.Crafts found seal missing in head 49 and replace. Found gassing lever loose on head 107 and lubricated all purge valves. Tested all ok monitor and repor,17,Breakdown,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,9,11,6,TRUE,underfillingempty cans getting into seamer causing massive crashes ongoing issue crafts investigatingcrafts found seal missing in head and replace found gassing lever loose on head and lubricated all purge valves tested all ok monitor and repor,{},underfillingempty can get steamer cause massive crash ongoing issue craft investigatingcraft find seal miss head replace find gas lever loose head lubricate purge valve test ok monitor report,3
23,Machine Stop,Filler,Starwheel,Fault not listed,25,cans becoming damaged in infeed starwheel crafts in attedance making adjustment to stop damage,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,10,17,0,FALSE,cans becoming damaged in infeed starwheel crafts in attedance making adjustment to stop damage,{},can damage infeed gearwheel craft attendance make adjustment stop damage,1
24,Machine Stop,Filler,Bowl pressure,Fault not listed,2,Pressure drop.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,10,20,0,FALSE,pressure drop,{},pressure drop,3
25,Machine Stop,Filler,Bowl pressure,Pressure Control,2,Pressure drop.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,11,0,1,FALSE,pressure drop,{},pressure drop,0
26,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,13,damaged can caught in scroll damaging cans on infeed,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,11,9,1,FALSE,damaged can caught in scroll damaging cans on infeed,{},damage catch scroll damage can infeed,4
27,Machine Stop,Filler,Bowl level,Fault not listed,15,fault with brewmax unable to imput data for beer handling on data capture after changeover brewmax failing on prerun to filler,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,11,13,1,FALSE,fault with brewmax unable to imput data for beer handling on data capture after changeover brewmax failing on prerun to filler,{},fault crewman unable input datum beer handle datum capture changeover crewman fail rerun filler,3
28,Machine Stop,Filler,Bowl level,Fault not listed,21,fault with beer pump 6605 not pushing beer to filler operator called craft who found pump to be failing so switched to second pump and will imput tag for pump failing,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,11,14,1,FALSE,fault with beer pump not pushing beer to filler operator called craft who found pump to be failing so switched to second pump and will imput tag for pump failing,{},fault beer pump push beer filler operator call craft find pump fail switch second pump input tag pump fail,3
29,Machine Stop,Filler,In-feed scroll,Cans jammed,3,can jammed in infeed scroll,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,14,2,4,FALSE,can jammed in infeed scroll,{},jam infeed scroll,4
30,Machine Stop,Filler,In-feed scroll,Cans jammed,5,can jammed in infeed scroll,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,14,4,4,FALSE,can jammed in infeed scroll,{},jam infeed scroll,4
31,Machine Stop,Filler,Bowl level,Level Control,6,V/V6232 failed,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,7,4,FALSE,v failed,{},v fail,1
32,Machine Stop,Filler,Bowl level,Level Control,6,V/V6232 failed,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,8,4,FALSE,v failed,{},v fail,1
33,Machine Stop,Filler,Filling heads,Fault not listed,5,investigating underfilling head,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,9,4,FALSE,investigating underfilling head,{},investigate underselling head,4
34,Machine Stop,Filler,Filling heads,Fault not listed,15,"head 14 underfill,crafts changed centering bell",17,Breakdown,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,10,4,FALSE,head underfillcrafts changed centering bell,{},head underfillcraft change center bell,3
35,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),12,Head 149 lubbe sniffter v/v as sticking,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,12,4,FALSE,head lubbe sniffter vv as sticking,{},head lube sniffer v stick,0
36,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),13,Head 25 lubbe sniffter v/v as sticking,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,12,4,FALSE,head lubbe sniffter vv as sticking,{},head lube sniffer v stick,0
37,Machine Stop,Filler,Bowl pressure,Pressure Control,5,pressure low,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,16,4,FALSE,pressure low,{},pressure low,1
38,Machine Stop,Filler,Bowl pressure,Pressure Control,3,bowl pressure low,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,14,17,4,FALSE,bowl pressure low,{},bowl pressure low,1
39,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),8,operator lubricating sniffer valves 149 and 25,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,15,2,5,TRUE,operator lubricating sniffer valves and ,{},operator lubricate sniffer valve,0
40,Machine Stop,Filler,Bowl pressure,Pressure Control,96,V/V 6232 failed no spare in stores. Trevor & Justin attended,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,15,15,5,TRUE,vv failed no spare in stores trevor justin attended,{},v fail spare store tremor attend,1
41,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),8,operator checking all sniffer valves are moving freely due to underfills in cell two,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,15,21,5,TRUE,operator checking all sniffer valves are moving freely due to underfills in cell two,{},operator check sniffer valve move freely undersell cell,0
42,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),7,crafts investigating underfilling heads,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,15,23,5,TRUE,crafts investigating underfilling heads,{},craft investigate undersell head,2
43,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),32,"crafts still in attendance identified heads 19,20,21 to be the issue and are changing fibre washers and cleaning sniffer valves on heads trace put on passy to see if problem persists after these heads have been worked on",17,Breakdown,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,15,23,5,TRUE,crafts still in attendance identified heads to be the issue and are changing fibre washers and cleaning sniffer valves on heads trace put on passy to see if problem persists after these heads have been worked on,{},craft attendance identify head issue change fibre washer clean sniffer valve head trace pass problem persist head work,4
44,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),18,fobbing head being located by operator stop start at filler whilst finding,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,16,2,6,TRUE,fobbing head being located by operator stop start at filler whilst finding,{},fob head locate operator stop start filler whilst find,2
45,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),20,"crafts now in attendance changing fibre washers on head 17 and cleaning sniffer valves on 11 ,13 and 15",17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,16,2,6,TRUE,crafts now in attendance changing fibre washers on head and cleaning sniffer valves on and ,{},craft attendance change fibre washer head clean sniffer valve,4
46,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,10,cans damaged on scroll,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,17,20,0,FALSE,cans damaged on scroll,{},can damage scroll,2
47,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,11,"cans damaged on scroll ,all cans damaged,emptied cans from filler",17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,18,0,1,FALSE,cans damaged on scroll all cans damagedemptied cans from filler,{},can damage scroll can damagedemptie can filler,2
48,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,11,can damage on scroll,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,18,3,1,FALSE,can damage on scroll,{},damage scroll,2
49,Machine Stop,Filler,Tappet chain,Fault not listed,5,tappet chain crash operator removing all cans,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,18,7,1,FALSE,tappet chain crash operator removing all cans,{},tappet chain crash operator remove can,5
50,Machine Stop,Filler,Tappet chain,Fault not listed,6,tappet chain crash all cans being removing from filler,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,18,9,1,FALSE,tappet chain crash all cans being removing from filler,{},tappet chain crash can remove filler,5
51,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,2,damaged cans entered infeed filler stopped to remove,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,18,11,1,FALSE,damaged cans entered infeed filler stopped to remove,{},damage can enter infeed filler stop remove,4
52,Machine Stop,Filler,Bowl level,Fault not listed,44,issue with beer handling/valves unable to imput in for data capture problem was with drain valve 6232 faulting on pre run and when fault is reset beer will pour from line having to have the cycle stepped on to transfer to clear fault,17,Breakdown,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,18,13,1,FALSE,issue with beer handlingvalves unable to imput in for data capture problem was with drain valve faulting on pre run and when fault is reset beer will pour from line having to have the cycle stepped on to transfer to clear fault,{},issue beer handlingvalve unable input datum capture problem drain valve fault run fault reset beer pour line have cycle step transfer clear fault,3
53,Machine Stop,Filler,Tappet chain,Fault not listed,3,tappet chain crash operator removing cans from filler,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,18,15,1,FALSE,tappet chain crash operator removing cans from filler,{},tappet chain crash operator remove can filler,5
54,Machine Stop,Filler,In-feed scroll,Cans jammed,5,Can trapped in infeed scroll had to access filer remove trapped can and perform reset.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,19,2,2,FALSE,can trapped in infeed scroll had to access filer remove trapped can and perform reset,{},trap infeed scroll access filer remove trap perform reset,0
55,Machine Stop,Filler,Bowl pressure,Pressure Control,2,Pressure drop.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,19,3,2,FALSE,pressure drop,{},pressure drop,0
56,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,12,damaged cans on infeed to filler filler stopped to remove,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,19,14,2,FALSE,damaged cans on infeed to filler filler stopped to remove,{},damage can infeed filler filler stop remove,4
57,Machine Stop,Filler,In-feed scroll,Cans jammed,8,MB Can crash on the infeed scroll.,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,20,13,3,FALSE,mb can crash on the infeed scroll,{},mb crash infeed scroll,4
58,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,4,damaged cans on infeed stopped to remove,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,20,20,3,FALSE,damaged cans on infeed stopped to remove,{},damage can infeed stop remove,4
59,Machine Stop,Filler,Tappet chain,Fault not listed,1,tappet chain crash cans being removed from filler,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,21,0,4,FALSE,tappet chain crash cans being removed from filler,{},tappet chain crash can remove filler,5
60,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),4,operator locating fobbing head /head 92,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,21,4,4,FALSE,operator locating fobbing head head ,{},operator locate fob head head,2
61,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11,fobbing head crafts in attendance changing fibre washer /head 92,17,Breakdown,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,21,4,4,FALSE,fobbing head crafts in attendance changing fibre washer head ,{},fob head craft attendance change fibre washer head,0
62,Machine Stop,Filler,Tappet chain,Fault not listed,7,tappet chain crash all cans being removed from filler,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,21,5,4,FALSE,tappet chain crash all cans being removed from filler,{},tappet chain crash can remove filler,5
63,Machine Stop,Filler,PILZ system,Full safety circuit tripped,3,emergency stop faults operator able to reset,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,21,6,4,FALSE,emergency stop faults operator able to reset,{},emergency stop fault operator able reset,0
64,Machine Stop,Filler,Tappet chain,Fault not listed,8,tappet chain crash all cans being removed from filler and seamer,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,21,6,4,FALSE,tappet chain crash all cans being removed from filler and seamer,{},tappet chain crash can remove filler steamer,5
65,Machine Stop,Filler,Scroll,Fault not listed,6,Slight timing issue / crafts attended stoppage and monitored fault PSM made adjustment to scroll position before crafts at Filler.,17,Breakdown,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,21,16,4,FALSE,slight timing issue crafts attended stoppage and monitored fault psm made adjustment to scroll position before crafts at filler,{},slight timing issue craft attend stoppage monitor fault psi adjustment scroll position craft filler,3
66,Machine Stop,Filler,Filling heads,Fault not listed,12,operator investigating possible fobbing heads but cans weighing in spec,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,5,21,23,4,FALSE,operator investigating possible fobbing heads but cans weighing in spec,{},operator investigate possible fobbing head can weigh spec,3
67,Machine Stop,Filler,In-feed scroll,Cans jammed,16,cans jammed infered scroll operator removed,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,22,19,5,TRUE,cans jammed infered scroll operator removed,{},can jam infer scroll operator remove,0
68,Machine Stop,Filler,Tappet chain,Pressure drop,9,Tappet chain crash,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,23,15,6,TRUE,tappet chain crash,{},tappet chain crash,2
69,Machine Stop,Filler,Bowl pressure,Pressure Control,4,Pressure dropped,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,5,25,21,1,FALSE,pressure dropped,{},pressure drop,0
70,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),10,head 127 underfilling stopped filler and inspected. Seems to be okay now,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,26,20,2,FALSE,head underfilling stopped filler and inspected seems to be okay now,{},head undersell stop filler inspect okay,2
71,Machine Stop,Filler,Bowl pressure,Pressure Control,5,drop in bowl pressure. Had to bring pressurise filler and bring beer back on,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,26,22,2,FALSE,drop in bowl pressure had to bring pressurise filler and bring beer back on,{},drop bowl pressure bring pressurise filler bring beer,1
72,Machine Stop,Filler,In-feed scroll,Cans jammed,14,damaged cans on infeed jammed in scroll. Had to maually remove,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,26,23,2,FALSE,damaged cans on infeed jammed in scroll had to maually remove,{},damage can infeed jam scroll manually remove,0
73,Machine Stop,Filler,Tappet chain,Fault not listed,3,damaged cans on tappet chains,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,27,0,3,FALSE,damaged cans on tappet chains,{},damage can tappet chain,5
74,Machine Stop,Filler,Bowl pressure,Pressure Control,3,Pressure drop.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,5,28,4,4,FALSE,pressure drop,{},pressure drop,0
75,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,purge valve 58 stuck in,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,28,13,4,FALSE,purge valve stuck in,{},purge valve stick,0
76,Machine Stop,Filler,Bowl pressure,Fault not listed,16,bowl pressure droppwws causing seamer crashes,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,5,29,7,5,TRUE,bowl pressure droppwws causing seamer crashes,{},bowl pressure dropper cause steamer crash,3
77,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,5,damaged cans come throughh scroll caused jam on infeed to seamer,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,1,8,1,FALSE,damaged cans come throughh scroll caused jam on infeed to seamer,{},damage can come scroll cause jam infeed steamer,2
78,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,5,cans damaged by the timing of going into scroll thewn crashed into seamer,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,1,12,1,FALSE,cans damaged by the timing of going into scroll thewn crashed into seamer,{},can damage timing go scroll crash steamer,2
79,Machine Stop,Filler,In-feed scroll,In-feed scroll dirty,30,multiple seamer crashes damaged can stuck in infeed scroll and damaged cans coming in the filler causing bowl pressure to drop cleaning all the filler (hygiene),17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,6,3,0,3,FALSE,multiple seamer crashes damaged can stuck in infeed scroll and damaged cans coming in the filler causing bowl pressure to drop cleaning all the filler hygiene,{},multiple steamer crash damage stick infeed scroll damage can come filler cause bowl pressure drop clean filler hygiene,0
80,Machine Stop,Filler,Bowl pressure,Pressure Control,20,damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,6,3,4,3,FALSE,damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler,{},damage can come filler cause bowl pressure drop steamer crash clear can filler,1
81,Machine Stop,Filler,In-feed scroll,Cans jammed,5,cans damaged on scroll,17,Short Stop,TRUE,FALSE,FALSE,FALSE,FALSE,2021,6,3,5,3,FALSE,cans damaged on scroll,{},can damage scroll,2
82,Machine Stop,Filler,Tappet chain,Transfer chain out of alignment,8,caused damage to cans,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,3,23,3,FALSE,caused damage to cans,{},cause damage can,4
83,Machine Stop,Filler,Channel pressure,Pressure drop,3,channel pressure keeps dropping,17,Short Stop,FALSE,TRUE,FALSE,FALSE,FALSE,2021,6,4,11,4,FALSE,channel pressure keeps dropping,{},channel pressure keep drop,0
84,Machine Stop,Filler,Channel pressure,Pressure drop,10,pressure keeps dropping. Filler spinning full speed and not feeding cans in.,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,4,20,4,FALSE,pressure keeps dropping filler spinning full speed and not feeding cans in,{},pressure keep drop filler spin speed feed can,2
85,Machine Stop,Filler,Tappet chain,Transfer chain out of alignment,8,damaged cans,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,4,22,4,FALSE,damaged cans,{},damage can,4
86,Machine Stop,Filler,PILZ system,Panels tripped,8,re set in panel,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,5,1,5,TRUE,re set in panel,{},set panel,2
87,Machine Stop,Filler,PILZ system,Doors tripped,8,one of the doors tripped on front of filler. Crafts reset in panel,17,Breakdown,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,5,2,5,TRUE,one of the doors tripped on front of filler crafts reset in panel,{},door trip filler craft reset panel,4
88,Machine Stop,Filler,Bowl pressure,Fault not listed,30,crafts checking before start up,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,6,16,6,TRUE,crafts checking before start up,{},craft check start,3
89,Machine Stop,Filler,Bowl level,Fault not listed,15,valve fault 6005 supply fault to filler had to swap over after checking out,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,6,17,6,TRUE,valve fault supply fault to filler had to swap over after checking out,{},valve fault supply fault filler swap check,3
90,Machine Stop,Filler,In-feed scroll,Cans jammed,12,can stuck in infeed scriik,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,6,17,6,TRUE,can stuck in infeed scriik,{},stuck infeed script,1
91,Machine Stop,Filler,PILZ system,Full safety circuit tripped,28,pilz mtripped,17,Short Stop,FALSE,FALSE,TRUE,FALSE,FALSE,2021,6,6,18,6,TRUE,pilz mtripped,{},pile strip,2
92,Machine Stop,Filler,Bowl pressure,Fault not listed,10,damaged can coming in caused bowl pressure to drop causinbg jam,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,6,7,20,0,FALSE,damaged can coming in caused bowl pressure to drop causinbg jam,{},damage come cause bowl pressure drop cause jam,1
93,Machine Stop,Filler,Bowl pressure,Pressure Control,16,bowl pressure dropped causing gapping at filler,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,6,8,1,1,FALSE,bowl pressure dropped causing gapping at filler,{},bowl pressure drop cause gapping filler,1
94,Machine Stop,Filler,Cams,Fault not listed,5,bowl pressure dropped causing gapping cans,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,6,8,2,1,FALSE,bowl pressure dropped causing gapping cans,{},bowl pressure drop cause gap can,3
95,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),18,head 150 crafts changing fibre washer,17,Short Stop,FALSE,FALSE,FALSE,FALSE,TRUE,2021,6,8,3,1,FALSE,head crafts changing fibre washer,{},head craft change fibre washer,0
