,Unnamed: 0_x,Incident,Machine,Area / Cause,Reason/Fault,Time (minutes),Original Comments,Line No,MachineStopType,Shift_Fosters/Green,Shift_Heineken/Orange,Shift_John Smiths/Pink,Shift_John Smiths/Yellow,Shift_Strongbow/Yellow,Year,Month,Day,Hour,DayOfWeek,IsWeekend,cleaned_comments,uncorrectable_words,lemmatized,Cluster,Unnamed: 0_y,Category
10,10,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11,ribre washer changed head 72,17,Breakdown,False,True,False,False,False,2021,5,6,5,3,False,ribre washer changed head ,{},fire washer change head,2.0,69.0,"underfilling head, crafts still investigating"
11,11,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20,Head 48 intermitantly not filling found V/V sliding arms sticking and slight burrs cleaned & monitoring Sam Garnett attended,17,Short Stop,True,False,False,False,False,2021,5,7,11,4,False,head intermitantly not filling found vv sliding arms sticking and slight burrs cleaned monitoring sam garnett attended,{},head intermittently fill find v slide arm sticking slight burr clean monitor sam garnet attend,0.0,73.0,head purge valves sticking
12,12,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),20,heads 22 and 25 purge valves sticking,17,Short Stop,False,False,False,False,True,2021,5,7,20,4,False,heads and purge valves sticking,{},head purge valve stick,0.0,73.0,head purge valves sticking
13,13,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,head no1 purge valve sticking,17,Short Stop,False,False,False,False,True,2021,5,7,21,4,False,head purge valve sticking,{},head purge valve stick,0.0,73.0,head purge valves sticking
14,14,Machine Stop,Filler,Filling heads,Underfilling Head (Change),52,crafts changing head 48,17,Short Stop,False,False,False,False,True,2021,5,8,0,5,True,crafts changing head ,{},craft change head,3.0,65.0,"beer leaking out of filling head, craft changing head"
15,15,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,crafts checking purge valves heads 9/11/15/16/30 sticking,17,Short Stop,False,False,False,False,True,2021,5,8,2,5,True,crafts checking purge valves heads sticking,{},craft check purge valve head stick,0.0,73.0,head purge valves sticking
16,16,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,Filler heads #1 + #48 causing issues under filliing. Crafts in attendence crafts lubricated purge valves sticking continue to monitor and report any issues.,17,Breakdown,False,False,True,False,False,2021,5,8,13,5,True,filler heads causing issues under filliing crafts in attendence crafts lubricated purge valves sticking continue to monitor and report any issues,{},filler head cause issue fill craft attendance craft lubricate purge valve stick continue monitor report issue,0.0,73.0,head purge valves sticking
17,17,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),15,Head 1 still underfilling crafts investigating. Crafts changed fibre washer continue to monitor and report any issues.,17,Breakdown,False,False,True,False,False,2021,5,8,14,5,True,head still underfilling crafts investigating crafts changed fibre washer continue to monitor and report any issues,{},head undersell craft investigate craft change fibre washer continue monitor report issue,2.0,69.0,"underfilling head, crafts still investigating"
18,18,Machine Stop,Filler,Bowl pressure,Fault not listed,2,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,8,14,5,True,pressure drop,{},pressure drop,3.0,28.0,issue with pressure valve or co2 levels
19,19,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),5,investigating underfilling head,17,Short Stop,True,False,False,False,False,2021,5,8,21,5,True,investigating underfilling head,{},investigate underselling head,0.0,73.0,head purge valves sticking
20,20,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),13,Investigating Head No 1 rejecting cans,17,Short Stop,True,False,False,False,False,2021,5,8,22,5,True,investigating head no rejecting cans,{},investigate head reject can,0.0,73.0,head purge valves sticking
21,21,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),10,Changed centering bell on head No1,17,Short Stop,True,False,False,False,False,2021,5,8,22,5,True,changed centering bell on head ,{},change center bell head,0.0,73.0,head purge valves sticking
22,22,Machine Stop,Filler,Filling heads,Fault not listed,67,Underfilling/Empty cans getting into seamer causing massive crashes ongoing issue crafts investigating.Crafts found seal missing in head 49 and replace. Found gassing lever loose on head 107 and lubricated all purge valves. Tested all ok monitor and repor,17,Breakdown,False,False,True,False,False,2021,5,9,11,6,True,underfillingempty cans getting into seamer causing massive crashes ongoing issue crafts investigatingcrafts found seal missing in head and replace found gassing lever loose on head and lubricated all purge valves tested all ok monitor and repor,{},underfillingempty can get steamer cause massive crash ongoing issue craft investigatingcraft find seal miss head replace find gas lever loose head lubricate purge valve test ok monitor report,3.0,28.0,issue with pressure valve or co2 levels
23,23,Machine Stop,Filler,Starwheel,Fault not listed,25,cans becoming damaged in infeed starwheel crafts in attedance making adjustment to stop damage,17,Short Stop,False,True,False,False,False,2021,5,10,17,0,False,cans becoming damaged in infeed starwheel crafts in attedance making adjustment to stop damage,{},can damage infeed gearwheel craft attendance make adjustment stop damage,1.0,26.0,"crash jamming at infeed scroll causing crash at infeed scroll or filler, possibly preventing cans going into the filler"
24,24,Machine Stop,Filler,Bowl pressure,Fault not listed,2,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,10,20,0,False,pressure drop,{},pressure drop,3.0,28.0,issue with pressure valve or co2 levels
25,25,Machine Stop,Filler,Bowl pressure,Pressure Control,2,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,11,0,1,False,pressure drop,{},pressure drop,0.0,47.0,pressure drop
26,26,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,13,damaged can caught in scroll damaging cans on infeed,17,Short Stop,False,True,False,False,False,2021,5,11,9,1,False,damaged can caught in scroll damaging cans on infeed,{},damage catch scroll damage can infeed,4.0,8.0,"damaged cans on infeed to filler, filler stopped to remove these damaged cans"
27,27,Machine Stop,Filler,Bowl level,Fault not listed,15,fault with brewmax unable to imput data for beer handling on data capture after changeover brewmax failing on prerun to filler,17,Short Stop,False,True,False,False,False,2021,5,11,13,1,False,fault with brewmax unable to imput data for beer handling on data capture after changeover brewmax failing on prerun to filler,{},fault crewman unable input datum beer handle datum capture changeover crewman fail rerun filler,3.0,28.0,issue with pressure valve or co2 levels
28,28,Machine Stop,Filler,Bowl level,Fault not listed,21,fault with beer pump 6605 not pushing beer to filler operator called craft who found pump to be failing so switched to second pump and will imput tag for pump failing,17,Short Stop,False,True,False,False,False,2021,5,11,14,1,False,fault with beer pump not pushing beer to filler operator called craft who found pump to be failing so switched to second pump and will imput tag for pump failing,{},fault beer pump push beer filler operator call craft find pump fail switch second pump input tag pump fail,3.0,28.0,issue with pressure valve or co2 levels
29,29,Machine Stop,Filler,In-feed scroll,Cans jammed,3,can jammed in infeed scroll,17,Short Stop,False,True,False,False,False,2021,5,14,2,4,False,can jammed in infeed scroll,{},jam infeed scroll,4.0,14.0,Damaged cans trapped on infeed scroll.
30,30,Machine Stop,Filler,In-feed scroll,Cans jammed,5,can jammed in infeed scroll,17,Short Stop,False,True,False,False,False,2021,5,14,4,4,False,can jammed in infeed scroll,{},jam infeed scroll,4.0,14.0,Damaged cans trapped on infeed scroll.
31,31,Machine Stop,Filler,Bowl level,Level Control,6,V/V6232 failed,17,Short Stop,True,False,False,False,False,2021,5,14,7,4,False,v failed,{},v fail,1.0,39.0,V/V6232 failed
32,32,Machine Stop,Filler,Bowl level,Level Control,6,V/V6232 failed,17,Short Stop,True,False,False,False,False,2021,5,14,8,4,False,v failed,{},v fail,1.0,39.0,V/V6232 failed
33,33,Machine Stop,Filler,Filling heads,Fault not listed,5,investigating underfilling head,17,Short Stop,True,False,False,False,False,2021,5,14,9,4,False,investigating underfilling head,{},investigate underselling head,4.0,29.0,problem with pressure drop or co2 levels
34,34,Machine Stop,Filler,Filling heads,Fault not listed,15,"head 14 underfill,crafts changed centering bell",17,Breakdown,True,False,False,False,False,2021,5,14,10,4,False,head underfillcrafts changed centering bell,{},head underfillcraft change center bell,3.0,28.0,issue with pressure valve or co2 levels
35,35,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),12,Head 149 lubbe sniffter v/v as sticking,17,Short Stop,True,False,False,False,False,2021,5,14,12,4,False,head lubbe sniffter vv as sticking,{},head lube sniffer v stick,0.0,73.0,head purge valves sticking
36,36,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),13,Head 25 lubbe sniffter v/v as sticking,17,Short Stop,True,False,False,False,False,2021,5,14,12,4,False,head lubbe sniffter vv as sticking,{},head lube sniffer v stick,0.0,73.0,head purge valves sticking
37,37,Machine Stop,Filler,Bowl pressure,Pressure Control,5,pressure low,17,Short Stop,True,False,False,False,False,2021,5,14,16,4,False,pressure low,{},pressure low,1.0,48.0,"bowl pressure low , possibly due to damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler"
38,38,Machine Stop,Filler,Bowl pressure,Pressure Control,3,bowl pressure low,17,Short Stop,True,False,False,False,False,2021,5,14,17,4,False,bowl pressure low,{},bowl pressure low,1.0,48.0,"bowl pressure low , possibly due to damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler"
39,39,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),8,operator lubricating sniffer valves 149 and 25,17,Short Stop,False,False,False,False,True,2021,5,15,2,5,True,operator lubricating sniffer valves and ,{},operator lubricate sniffer valve,0.0,73.0,head purge valves sticking
40,40,Machine Stop,Filler,Bowl pressure,Pressure Control,96,V/V 6232 failed no spare in stores. Trevor & Justin attended,17,Short Stop,True,False,False,False,False,2021,5,15,15,5,True,vv failed no spare in stores trevor justin attended,{},v fail spare store tremor attend,1.0,48.0,"bowl pressure low , possibly due to damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler"
41,41,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),8,operator checking all sniffer valves are moving freely due to underfills in cell two,17,Short Stop,False,False,False,False,True,2021,5,15,21,5,True,operator checking all sniffer valves are moving freely due to underfills in cell two,{},operator check sniffer valve move freely undersell cell,0.0,73.0,head purge valves sticking
42,42,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),7,crafts investigating underfilling heads,17,Short Stop,False,False,False,False,True,2021,5,15,23,5,True,crafts investigating underfilling heads,{},craft investigate undersell head,2.0,69.0,"underfilling head, crafts still investigating"
43,43,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),32,"crafts still in attendance identified heads 19,20,21 to be the issue and are changing fibre washers and cleaning sniffer valves on heads trace put on passy to see if problem persists after these heads have been worked on",17,Breakdown,False,False,False,False,True,2021,5,15,23,5,True,crafts still in attendance identified heads to be the issue and are changing fibre washers and cleaning sniffer valves on heads trace put on passy to see if problem persists after these heads have been worked on,{},craft attendance identify head issue change fibre washer clean sniffer valve head trace pass problem persist head work,4.0,71.0,crafts now in atendance to change fibre washers on head and clean sniffer valves
44,44,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),18,fobbing head being located by operator stop start at filler whilst finding,17,Short Stop,False,False,False,False,True,2021,5,16,2,6,True,fobbing head being located by operator stop start at filler whilst finding,{},fob head locate operator stop start filler whilst find,2.0,69.0,"underfilling head, crafts still investigating"
45,45,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),20,"crafts now in attendance changing fibre washers on head 17 and cleaning sniffer valves on 11 ,13 and 15",17,Short Stop,False,False,False,False,True,2021,5,16,2,6,True,crafts now in attendance changing fibre washers on head and cleaning sniffer valves on and ,{},craft attendance change fibre washer head clean sniffer valve,4.0,71.0,crafts now in atendance to change fibre washers on head and clean sniffer valves
46,46,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,10,cans damaged on scroll,17,Short Stop,True,False,False,False,False,2021,5,17,20,0,False,cans damaged on scroll,{},can damage scroll,2.0,6.0,"damaged cans go through scroll. causing cans damaged, scroll to jam on infeed to seamer"
47,47,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,11,"cans damaged on scroll ,all cans damaged,emptied cans from filler",17,Short Stop,True,False,False,False,False,2021,5,18,0,1,False,cans damaged on scroll all cans damagedemptied cans from filler,{},can damage scroll can damagedemptie can filler,2.0,6.0,"damaged cans go through scroll. causing cans damaged, scroll to jam on infeed to seamer"
48,48,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,11,can damage on scroll,17,Short Stop,True,False,False,False,False,2021,5,18,3,1,False,can damage on scroll,{},damage scroll,2.0,6.0,"damaged cans go through scroll. causing cans damaged, scroll to jam on infeed to seamer"
49,49,Machine Stop,Filler,Tappet chain,Fault not listed,5,tappet chain crash operator removing all cans,17,Short Stop,False,True,False,False,False,2021,5,18,7,1,False,tappet chain crash operator removing all cans,{},tappet chain crash operator remove can,5.0,30.0,tappet chain crash all cans being removing from filler
50,50,Machine Stop,Filler,Tappet chain,Fault not listed,6,tappet chain crash all cans being removing from filler,17,Short Stop,False,True,False,False,False,2021,5,18,9,1,False,tappet chain crash all cans being removing from filler,{},tappet chain crash can remove filler,5.0,30.0,tappet chain crash all cans being removing from filler
51,51,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,2,damaged cans entered infeed filler stopped to remove,17,Short Stop,False,True,False,False,False,2021,5,18,11,1,False,damaged cans entered infeed filler stopped to remove,{},damage can enter infeed filler stop remove,4.0,8.0,"damaged cans on infeed to filler, filler stopped to remove these damaged cans"
52,52,Machine Stop,Filler,Bowl level,Fault not listed,44,issue with beer handling/valves unable to imput in for data capture problem was with drain valve 6232 faulting on pre run and when fault is reset beer will pour from line having to have the cycle stepped on to transfer to clear fault,17,Breakdown,False,True,False,False,False,2021,5,18,13,1,False,issue with beer handlingvalves unable to imput in for data capture problem was with drain valve faulting on pre run and when fault is reset beer will pour from line having to have the cycle stepped on to transfer to clear fault,{},issue beer handlingvalve unable input datum capture problem drain valve fault run fault reset beer pour line have cycle step transfer clear fault,3.0,28.0,issue with pressure valve or co2 levels
53,53,Machine Stop,Filler,Tappet chain,Fault not listed,3,tappet chain crash operator removing cans from filler,17,Short Stop,False,True,False,False,False,2021,5,18,15,1,False,tappet chain crash operator removing cans from filler,{},tappet chain crash operator remove can filler,5.0,30.0,tappet chain crash all cans being removing from filler
54,54,Machine Stop,Filler,In-feed scroll,Cans jammed,5,Can trapped in infeed scroll had to access filer remove trapped can and perform reset.,17,Short Stop,False,False,True,False,False,2021,5,19,2,2,False,can trapped in infeed scroll had to access filer remove trapped can and perform reset,{},trap infeed scroll access filer remove trap perform reset,0.0,10.0,filler crash due to cans coming into scroll
55,55,Machine Stop,Filler,Bowl pressure,Pressure Control,2,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,19,3,2,False,pressure drop,{},pressure drop,0.0,47.0,pressure drop
56,56,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,12,damaged cans on infeed to filler filler stopped to remove,17,Short Stop,False,True,False,False,False,2021,5,19,14,2,False,damaged cans on infeed to filler filler stopped to remove,{},damage can infeed filler filler stop remove,4.0,8.0,"damaged cans on infeed to filler, filler stopped to remove these damaged cans"
57,57,Machine Stop,Filler,In-feed scroll,Cans jammed,8,MB Can crash on the infeed scroll.,17,Short Stop,False,False,False,False,True,2021,5,20,13,3,False,mb can crash on the infeed scroll,{},mb crash infeed scroll,4.0,14.0,Damaged cans trapped on infeed scroll.
58,58,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,4,damaged cans on infeed stopped to remove,17,Short Stop,False,True,False,False,False,2021,5,20,20,3,False,damaged cans on infeed stopped to remove,{},damage can infeed stop remove,4.0,8.0,"damaged cans on infeed to filler, filler stopped to remove these damaged cans"
59,59,Machine Stop,Filler,Tappet chain,Fault not listed,1,tappet chain crash cans being removed from filler,17,Short Stop,False,True,False,False,False,2021,5,21,0,4,False,tappet chain crash cans being removed from filler,{},tappet chain crash can remove filler,5.0,30.0,tappet chain crash all cans being removing from filler
60,60,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),4,operator locating fobbing head /head 92,17,Short Stop,False,True,False,False,False,2021,5,21,4,4,False,operator locating fobbing head head ,{},operator locate fob head head,2.0,69.0,"underfilling head, crafts still investigating"
61,61,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11,fobbing head crafts in attendance changing fibre washer /head 92,17,Breakdown,False,True,False,False,False,2021,5,21,4,4,False,fobbing head crafts in attendance changing fibre washer head ,{},fob head craft attendance change fibre washer head,0.0,67.0,fibre washer head changed 
62,62,Machine Stop,Filler,Tappet chain,Fault not listed,7,tappet chain crash all cans being removed from filler,17,Short Stop,False,True,False,False,False,2021,5,21,5,4,False,tappet chain crash all cans being removed from filler,{},tappet chain crash can remove filler,5.0,30.0,tappet chain crash all cans being removing from filler
63,63,Machine Stop,Filler,PILZ system,Full safety circuit tripped,3,emergency stop faults operator able to reset,17,Short Stop,False,True,False,False,False,2021,5,21,6,4,False,emergency stop faults operator able to reset,{},emergency stop fault operator able reset,0.0,31.0,"full safety circuit tripped, crafts investigating, reset needed"
64,64,Machine Stop,Filler,Tappet chain,Fault not listed,8,tappet chain crash all cans being removed from filler and seamer,17,Short Stop,False,True,False,False,False,2021,5,21,6,4,False,tappet chain crash all cans being removed from filler and seamer,{},tappet chain crash can remove filler steamer,5.0,30.0,tappet chain crash all cans being removing from filler
65,65,Machine Stop,Filler,Scroll,Fault not listed,6,Slight timing issue / crafts attended stoppage and monitored fault PSM made adjustment to scroll position before crafts at Filler.,17,Breakdown,False,False,False,False,True,2021,5,21,16,4,False,slight timing issue crafts attended stoppage and monitored fault psm made adjustment to scroll position before crafts at filler,{},slight timing issue craft attend stoppage monitor fault psi adjustment scroll position craft filler,3.0,28.0,issue with pressure valve or co2 levels
66,66,Machine Stop,Filler,Filling heads,Fault not listed,12,operator investigating possible fobbing heads but cans weighing in spec,17,Short Stop,False,True,False,False,False,2021,5,21,23,4,False,operator investigating possible fobbing heads but cans weighing in spec,{},operator investigate possible fobbing head can weigh spec,3.0,28.0,issue with pressure valve or co2 levels
67,67,Machine Stop,Filler,In-feed scroll,Cans jammed,16,cans jammed infered scroll operator removed,17,Short Stop,False,False,False,False,True,2021,5,22,19,5,True,cans jammed infered scroll operator removed,{},can jam infer scroll operator remove,0.0,10.0,filler crash due to cans coming into scroll
68,68,Machine Stop,Filler,Tappet chain,Pressure drop,9,Tappet chain crash,17,Short Stop,True,False,False,False,False,2021,5,23,15,6,True,tappet chain crash,{},tappet chain crash,2.0,51.0,ring bowl pressure increasing and channel pressure dropping
69,69,Machine Stop,Filler,Bowl pressure,Pressure Control,4,Pressure dropped,17,Short Stop,True,False,False,False,False,2021,5,25,21,1,False,pressure dropped,{},pressure drop,0.0,47.0,pressure drop
70,70,Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),10,head 127 underfilling stopped filler and inspected. Seems to be okay now,17,Short Stop,False,False,True,False,False,2021,5,26,20,2,False,head underfilling stopped filler and inspected seems to be okay now,{},head undersell stop filler inspect okay,2.0,69.0,"underfilling head, crafts still investigating"
71,71,Machine Stop,Filler,Bowl pressure,Pressure Control,5,drop in bowl pressure. Had to bring pressurise filler and bring beer back on,17,Short Stop,False,False,True,False,False,2021,5,26,22,2,False,drop in bowl pressure had to bring pressurise filler and bring beer back on,{},drop bowl pressure bring pressurise filler bring beer,1.0,48.0,"bowl pressure low , possibly due to damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler"
72,72,Machine Stop,Filler,In-feed scroll,Cans jammed,14,damaged cans on infeed jammed in scroll. Had to maually remove,17,Short Stop,False,False,True,False,False,2021,5,26,23,2,False,damaged cans on infeed jammed in scroll had to maually remove,{},damage can infeed jam scroll manually remove,0.0,10.0,filler crash due to cans coming into scroll
73,73,Machine Stop,Filler,Tappet chain,Fault not listed,3,damaged cans on tappet chains,17,Short Stop,False,False,True,False,False,2021,5,27,0,3,False,damaged cans on tappet chains,{},damage can tappet chain,5.0,30.0,tappet chain crash all cans being removing from filler
74,74,Machine Stop,Filler,Bowl pressure,Pressure Control,3,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,28,4,4,False,pressure drop,{},pressure drop,0.0,47.0,pressure drop
75,75,Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19,purge valve 58 stuck in,17,Short Stop,False,False,False,False,True,2021,5,28,13,4,False,purge valve stuck in,{},purge valve stick,0.0,73.0,head purge valves sticking
76,76,Machine Stop,Filler,Bowl pressure,Fault not listed,16,bowl pressure droppwws causing seamer crashes,17,Short Stop,False,False,False,False,True,2021,5,29,7,5,True,bowl pressure droppwws causing seamer crashes,{},bowl pressure dropper cause steamer crash,3.0,28.0,issue with pressure valve or co2 levels
77,77,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,5,damaged cans come throughh scroll caused jam on infeed to seamer,17,Short Stop,False,False,True,False,False,2021,6,1,8,1,False,damaged cans come throughh scroll caused jam on infeed to seamer,{},damage can come scroll cause jam infeed steamer,2.0,6.0,"damaged cans go through scroll. causing cans damaged, scroll to jam on infeed to seamer"
78,78,Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,5,cans damaged by the timing of going into scroll thewn crashed into seamer,17,Short Stop,False,False,True,False,False,2021,6,1,12,1,False,cans damaged by the timing of going into scroll thewn crashed into seamer,{},can damage timing go scroll crash steamer,2.0,6.0,"damaged cans go through scroll. causing cans damaged, scroll to jam on infeed to seamer"
79,79,Machine Stop,Filler,In-feed scroll,In-feed scroll dirty,30,multiple seamer crashes damaged can stuck in infeed scroll and damaged cans coming in the filler causing bowl pressure to drop cleaning all the filler (hygiene),17,Short Stop,True,False,False,False,False,2021,6,3,0,3,False,multiple seamer crashes damaged can stuck in infeed scroll and damaged cans coming in the filler causing bowl pressure to drop cleaning all the filler hygiene,{},multiple steamer crash damage stick infeed scroll damage can come filler cause bowl pressure drop clean filler hygiene,0.0,36.0,"Frequent crashes at infeed scroll possibly due to dirty guide rails, guides, perspex and infeed scroll cleaned to see if issue can be resolved"
80,80,Machine Stop,Filler,Bowl pressure,Pressure Control,20,damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler,17,Short Stop,True,False,False,False,False,2021,6,3,4,3,False,damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler,{},damage can come filler cause bowl pressure drop steamer crash clear can filler,1.0,48.0,"bowl pressure low , possibly due to damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler"
81,81,Machine Stop,Filler,In-feed scroll,Cans jammed,5,cans damaged on scroll,17,Short Stop,True,False,False,False,False,2021,6,3,5,3,False,cans damaged on scroll,{},can damage scroll,2.0,12.0,jammed lid
82,82,Machine Stop,Filler,Tappet chain,Transfer chain out of alignment,8,caused damage to cans,17,Short Stop,False,False,True,False,False,2021,6,3,23,3,False,caused damage to cans,{},cause damage can,4.0,60.0,"transfer chain out of alignment, causing damage to cans"
83,83,Machine Stop,Filler,Channel pressure,Pressure drop,3,channel pressure keeps dropping,17,Short Stop,False,True,False,False,False,2021,6,4,11,4,False,channel pressure keeps dropping,{},channel pressure keep drop,0.0,49.0,pressure drop
84,84,Machine Stop,Filler,Channel pressure,Pressure drop,10,pressure keeps dropping. Filler spinning full speed and not feeding cans in.,17,Short Stop,False,False,True,False,False,2021,6,4,20,4,False,pressure keeps dropping filler spinning full speed and not feeding cans in,{},pressure keep drop filler spin speed feed can,2.0,51.0,ring bowl pressure increasing and channel pressure dropping
85,85,Machine Stop,Filler,Tappet chain,Transfer chain out of alignment,8,damaged cans,17,Short Stop,False,False,True,False,False,2021,6,4,22,4,False,damaged cans,{},damage can,4.0,60.0,"transfer chain out of alignment, causing damage to cans"
86,86,Machine Stop,Filler,PILZ system,Panels tripped,8,re set in panel,17,Short Stop,False,False,True,False,False,2021,6,5,1,5,True,re set in panel,{},set panel,2.0,45.0,pilz system tripping out causing panels tripped
87,87,Machine Stop,Filler,PILZ system,Doors tripped,8,one of the doors tripped on front of filler. Crafts reset in panel,17,Breakdown,False,False,True,False,False,2021,6,5,2,5,True,one of the doors tripped on front of filler crafts reset in panel,{},door trip filler craft reset panel,4.0,20.0,"filler doors tripped, crafts came to reset"
88,88,Machine Stop,Filler,Bowl pressure,Fault not listed,30,crafts checking before start up,17,Short Stop,False,False,True,False,False,2021,6,6,16,6,True,crafts checking before start up,{},craft check start,3.0,28.0,issue with pressure valve or co2 levels
