Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,MachineStopType,Shift_Fosters/Green,Shift_Heineken/Orange,Shift_John Smiths/Pink,Shift_John Smiths/Yellow,Shift_Strongbow/Yellow,Year,Month,Day,Hour,DayOfWeek,IsWeekend
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19.0,head no1 purge valve sticking,17,Short Stop,False,False,False,False,True,2021,5,7,21,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Change),52.0,crafts changing head 48,17,Short Stop,False,False,False,False,True,2021,5,8,0,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19.0,crafts checking purge valves heads 9/11/15/16/30 sticking,17,Short Stop,False,False,False,False,True,2021,5,8,2,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19.0,Filler heads #1 + #48 causing issues under filliing. Crafts in attendence crafts lubricated purge valves sticking continue to monitor and report any issues.,17,Breakdown,False,False,True,False,False,2021,5,8,13,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),15.0,Head 1 still underfilling crafts investigating. Crafts changed fibre washer continue to monitor and report any issues.,17,Breakdown,False,False,True,False,False,2021,5,8,14,5,True
Machine Stop,Filler,Bowl pressure,Fault not listed,2.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,8,14,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),5.0,investigating underfilling head,17,Short Stop,True,False,False,False,False,2021,5,8,21,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),13.0,Investigating Head No 1 rejecting cans,17,Short Stop,True,False,False,False,False,2021,5,8,22,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),10.0,Changed centering bell on head No1,17,Short Stop,True,False,False,False,False,2021,5,8,22,5,True
Machine Stop,Filler,Filling heads,Fault not listed,67.0,Underfilling/Empty cans getting into seamer causing massive crashes ongoing issue crafts investigating.Crafts found seal missing in head 49 and replace. Found gassing lever loose on head 107 and lubricated all purge valves. Tested all ok monitor and repor,17,Breakdown,False,False,True,False,False,2021,5,9,11,6,True
Machine Stop,Filler,Starwheel,Fault not listed,25.0,cans becoming damaged in infeed starwheel crafts in attedance making adjustment to stop damage,17,Short Stop,False,True,False,False,False,2021,5,10,17,0,False
Machine Stop,Filler,Bowl pressure,Pressure drop,2.0,,17,Short Stop,False,False,True,False,False,2021,5,10,19,0,False
Machine Stop,Filler,Bowl pressure,Fault not listed,2.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,10,20,0,False
Machine Stop,Filler,Bowl pressure,Pressure Control,2.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,11,0,1,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,13.0,damaged can caught in scroll damaging cans on infeed,17,Short Stop,False,True,False,False,False,2021,5,11,9,1,False
Machine Stop,Filler,Bowl level,Fault not listed,15.0,fault with brewmax unable to imput data for beer handling on data capture after changeover brewmax failing on prerun to filler,17,Short Stop,False,True,False,False,False,2021,5,11,13,1,False
Machine Stop,Filler,Bowl level,Fault not listed,21.0,fault with beer pump 6605 not pushing beer to filler operator called craft who found pump to be failing so switched to second pump and will imput tag for pump failing,17,Short Stop,False,True,False,False,False,2021,5,11,14,1,False
Machine Stop,Filler,In-feed scroll,Cans jammed,3.0,can jammed in infeed scroll,17,Short Stop,False,True,False,False,False,2021,5,14,2,4,False
Machine Stop,Filler,In-feed scroll,Cans jammed,5.0,can jammed in infeed scroll,17,Short Stop,False,True,False,False,False,2021,5,14,4,4,False
Machine Stop,Filler,Bowl level,Level Control,6.0,V/V6232 failed,17,Short Stop,True,False,False,False,False,2021,5,14,7,4,False
Machine Stop,Filler,Bowl level,Level Control,6.0,V/V6232 failed,17,Short Stop,True,False,False,False,False,2021,5,14,8,4,False
Machine Stop,Filler,Filling heads,Fault not listed,5.0,investigating underfilling head,17,Short Stop,True,False,False,False,False,2021,5,14,9,4,False
Machine Stop,Filler,Filling heads,Fault not listed,15.0,"head 14 underfill,crafts changed centering bell",17,Breakdown,True,False,False,False,False,2021,5,14,10,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),12.0,Head 149 lubbe sniffter v/v as sticking,17,Short Stop,True,False,False,False,False,2021,5,14,12,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),13.0,Head 25 lubbe sniffter v/v as sticking,17,Short Stop,True,False,False,False,False,2021,5,14,12,4,False
Machine Stop,Filler,Bowl pressure,Pressure Control,5.0,pressure low,17,Short Stop,True,False,False,False,False,2021,5,14,16,4,False
Machine Stop,Filler,Bowl pressure,Pressure Control,3.0,bowl pressure low,17,Short Stop,True,False,False,False,False,2021,5,14,17,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),8.0,operator lubricating sniffer valves 149 and 25,17,Short Stop,False,False,False,False,True,2021,5,15,2,5,True
Machine Stop,Filler,Bowl pressure,Pressure Control,96.0,V/V 6232 failed no spare in stores. Trevor & Justin attended,17,Short Stop,True,False,False,False,False,2021,5,15,15,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),8.0,operator checking all sniffer valves are moving freely due to underfills in cell two,17,Short Stop,False,False,False,False,True,2021,5,15,21,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),7.0,crafts investigating underfilling heads,17,Short Stop,False,False,False,False,True,2021,5,15,23,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),32.0,"crafts still in attendance identified heads 19,20,21 to be the issue and are changing fibre washers and cleaning sniffer valves on heads trace put on passy to see if problem persists after these heads have been worked on",17,Breakdown,False,False,False,False,True,2021,5,15,23,5,True
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),18.0,fobbing head being located by operator stop start at filler whilst finding,17,Short Stop,False,False,False,False,True,2021,5,16,2,6,True
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),20.0,"crafts now in attendance changing fibre washers on head 17 and cleaning sniffer valves on 11 ,13 and 15",17,Short Stop,False,False,False,False,True,2021,5,16,2,6,True
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,10.0,cans damaged on scroll,17,Short Stop,True,False,False,False,False,2021,5,17,20,0,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,11.0,"cans damaged on scroll ,all cans damaged,emptied cans from filler",17,Short Stop,True,False,False,False,False,2021,5,18,0,1,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,11.0,can damage on scroll,17,Short Stop,True,False,False,False,False,2021,5,18,3,1,False
Machine Stop,Filler,Tappet chain,Fault not listed,5.0,tappet chain crash operator removing all cans,17,Short Stop,False,True,False,False,False,2021,5,18,7,1,False
Machine Stop,Filler,Tappet chain,Fault not listed,6.0,tappet chain crash all cans being removing from filler,17,Short Stop,False,True,False,False,False,2021,5,18,9,1,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,2.0,damaged cans entered infeed filler stopped to remove,17,Short Stop,False,True,False,False,False,2021,5,18,11,1,False
Machine Stop,Filler,Bowl level,Fault not listed,44.0,issue with beer handling/valves unable to imput in for data capture problem was with drain valve 6232 faulting on pre run and when fault is reset beer will pour from line having to have the cycle stepped on to transfer to clear fault,17,Breakdown,False,True,False,False,False,2021,5,18,13,1,False
Machine Stop,Filler,Tappet chain,Fault not listed,3.0,tappet chain crash operator removing cans from filler,17,Short Stop,False,True,False,False,False,2021,5,18,15,1,False
Machine Stop,Filler,In-feed scroll,Cans jammed,5.0,Can trapped in infeed scroll had to access filer remove trapped can and perform reset.,17,Short Stop,False,False,True,False,False,2021,5,19,2,2,False
Machine Stop,Filler,Bowl pressure,Pressure Control,2.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,19,3,2,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,12.0,damaged cans on infeed to filler filler stopped to remove,17,Short Stop,False,True,False,False,False,2021,5,19,14,2,False
Machine Stop,Filler,Channel pressure,Pressure drop,13.0,,17,Short Stop,False,False,True,False,False,2021,5,19,21,2,False
Machine Stop,Filler,In-feed scroll,Cans jammed,8.0,MB Can crash on the infeed scroll.,17,Short Stop,False,False,False,False,True,2021,5,20,13,3,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,4.0,damaged cans on infeed stopped to remove,17,Short Stop,False,True,False,False,False,2021,5,20,20,3,False
Machine Stop,Filler,Tappet chain,Fault not listed,1.0,tappet chain crash cans being removed from filler,17,Short Stop,False,True,False,False,False,2021,5,21,0,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),4.0,operator locating fobbing head /head 92,17,Short Stop,False,True,False,False,False,2021,5,21,4,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),11.0,fobbing head crafts in attendance changing fibre washer /head 92,17,Breakdown,False,True,False,False,False,2021,5,21,4,4,False
Machine Stop,Filler,Tappet chain,Fault not listed,7.0,tappet chain crash all cans being removed from filler,17,Short Stop,False,True,False,False,False,2021,5,21,5,4,False
Machine Stop,Filler,PILZ system,Full safety circuit tripped,3.0,emergency stop faults operator able to reset,17,Short Stop,False,True,False,False,False,2021,5,21,6,4,False
Machine Stop,Filler,Tappet chain,Fault not listed,8.0,tappet chain crash all cans being removed from filler and seamer,17,Short Stop,False,True,False,False,False,2021,5,21,6,4,False
Machine Stop,Filler,Scroll,Fault not listed,6.0,Slight timing issue / crafts attended stoppage and monitored fault PSM made adjustment to scroll position before crafts at Filler.,17,Breakdown,False,False,False,False,True,2021,5,21,16,4,False
Machine Stop,Filler,Filling heads,Fault not listed,12.0,operator investigating possible fobbing heads but cans weighing in spec,17,Short Stop,False,True,False,False,False,2021,5,21,23,4,False
Machine Stop,Filler,In-feed scroll,Cans jammed,16.0,cans jammed infered scroll operator removed,17,Short Stop,False,False,False,False,True,2021,5,22,19,5,True
Machine Stop,Filler,Tappet chain,Pressure drop,9.0,Tappet chain crash,17,Short Stop,True,False,False,False,False,2021,5,23,15,6,True
Machine Stop,Filler,In-feed scroll,Cans jammed,13.0,,17,Breakdown,True,False,False,False,False,2021,5,23,16,6,True
Machine Stop,Filler,Bowl pressure,Pressure Control,4.0,Pressure dropped,17,Short Stop,True,False,False,False,False,2021,5,25,21,1,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),10.0,head 127 underfilling stopped filler and inspected. Seems to be okay now,17,Short Stop,False,False,True,False,False,2021,5,26,20,2,False
Machine Stop,Filler,Bowl pressure,Pressure Control,5.0,drop in bowl pressure. Had to bring pressurise filler and bring beer back on,17,Short Stop,False,False,True,False,False,2021,5,26,22,2,False
Machine Stop,Filler,In-feed scroll,Cans jammed,14.0,damaged cans on infeed jammed in scroll. Had to maually remove,17,Short Stop,False,False,True,False,False,2021,5,26,23,2,False
Machine Stop,Filler,Tappet chain,Fault not listed,3.0,damaged cans on tappet chains,17,Short Stop,False,False,True,False,False,2021,5,27,0,3,False
Machine Stop,Filler,Bowl pressure,Pressure Control,3.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,5,28,4,4,False
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),19.0,purge valve 58 stuck in,17,Short Stop,False,False,False,False,True,2021,5,28,13,4,False
Machine Stop,Filler,Bowl pressure,Fault not listed,16.0,bowl pressure droppwws causing seamer crashes,17,Short Stop,False,False,False,False,True,2021,5,29,7,5,True
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,5.0,damaged cans come throughh scroll caused jam on infeed to seamer,17,Short Stop,False,False,True,False,False,2021,6,1,8,1,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,5.0,cans damaged by the timing of going into scroll thewn crashed into seamer,17,Short Stop,False,False,True,False,False,2021,6,1,12,1,False
Machine Stop,Filler,In-feed scroll,In-feed scroll dirty,30.0,multiple seamer crashes damaged can stuck in infeed scroll and damaged cans coming in the filler causing bowl pressure to drop cleaning all the filler (hygiene),17,Short Stop,True,False,False,False,False,2021,6,3,0,3,False
Machine Stop,Filler,Bowl pressure,Pressure Control,20.0,damaged cans came into filler causing bowl pressure to drop and seamer crash clearing all cans out of filler,17,Short Stop,True,False,False,False,False,2021,6,3,4,3,False
Machine Stop,Filler,In-feed scroll,Cans jammed,5.0,cans damaged on scroll,17,Short Stop,True,False,False,False,False,2021,6,3,5,3,False
Machine Stop,Filler,Tappet chain,Transfer chain out of alignment,8.0,caused damage to cans,17,Short Stop,False,False,True,False,False,2021,6,3,23,3,False
Machine Stop,Filler,Channel pressure,Pressure drop,3.0,channel pressure keeps dropping,17,Short Stop,False,True,False,False,False,2021,6,4,11,4,False
Machine Stop,Filler,Channel pressure,Pressure drop,10.0,pressure keeps dropping. Filler spinning full speed and not feeding cans in.,17,Short Stop,False,False,True,False,False,2021,6,4,20,4,False
Machine Stop,Filler,Tappet chain,Transfer chain out of alignment,8.0,damaged cans,17,Short Stop,False,False,True,False,False,2021,6,4,22,4,False
Machine Stop,Filler,PILZ system,Panels tripped,8.0,re set in panel,17,Short Stop,False,False,True,False,False,2021,6,5,1,5,True
Machine Stop,Filler,PILZ system,Doors tripped,8.0,one of the doors tripped on front of filler. Crafts reset in panel,17,Breakdown,False,False,True,False,False,2021,6,5,2,5,True
Machine Stop,Filler,PILZ system,Panels tripped,17.0,,17,Short Stop,False,False,True,False,False,2021,6,5,19,5,True
Machine Stop,Filler,Bowl pressure,Fault not listed,30.0,crafts checking before start up,17,Short Stop,False,False,True,False,False,2021,6,6,16,6,True
Machine Stop,Filler,Bowl level,Fault not listed,15.0,valve fault 6005 supply fault to filler had to swap over after checking out,17,Short Stop,False,False,True,False,False,2021,6,6,17,6,True
Machine Stop,Filler,In-feed scroll,Cans jammed,12.0,can stuck in infeed scriik,17,Short Stop,False,False,True,False,False,2021,6,6,17,6,True
Machine Stop,Filler,PILZ system,Full safety circuit tripped,28.0,pilz mtripped,17,Short Stop,False,False,True,False,False,2021,6,6,18,6,True
Machine Stop,Filler,Bowl pressure,Fault not listed,10.0,damaged can coming in caused bowl pressure to drop causinbg jam,17,Short Stop,False,False,False,False,True,2021,6,7,20,0,False
Machine Stop,Filler,Bowl pressure,Pressure Control,16.0,bowl pressure dropped causing gapping at filler,17,Short Stop,False,False,False,False,True,2021,6,8,1,1,False
Machine Stop,Filler,Cams,Fault not listed,5.0,bowl pressure dropped causing gapping cans,17,Short Stop,False,False,False,False,True,2021,6,8,2,1,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),18.0,head 150 crafts changing fibre washer,17,Short Stop,False,False,False,False,True,2021,6,8,3,1,False
Machine Stop,Filler,Filling heads,Fault not listed,11.0,TPOS Failed stopped line to perform recheck seamer flush done while line was down. Recheck complete all TPOS ok.,17,Short Stop,True,False,False,False,False,2021,6,8,9,1,False
Machine Stop,Filler,Can stop,Fault not listed,7.0,gapping cans,17,Breakdown,True,False,False,False,False,2021,6,8,17,1,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),24.0,fobbing heads filling bins,17,Short Stop,False,False,False,False,True,2021,6,9,1,2,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),25.0,crafts changing fibre w2asher on head 150,17,Short Stop,False,False,False,False,True,2021,6,9,2,2,False
Machine Stop,Filler,Filling heads,Underfilling Head (Fibre Washer),23.0,head 150 still fobbing,17,Breakdown,False,False,False,False,True,2021,6,9,2,2,False
Machine Stop,Filler,Filling heads,Underfilling Head (Change),24.0,crafts looking at head 150,17,Breakdown,False,False,False,False,True,2021,6,9,3,2,False
Machine Stop,Filler,Channel pressure,Pressure drop,10.0,channel pressure dropping after 30 secs of running. Had to stop filler and drain and then re pressurise,17,Short Stop,False,False,True,False,False,2021,6,9,8,2,False
Machine Stop,Filler,Channel pressure,Pressure drop,5.0,,17,Short Stop,False,False,True,False,False,2021,6,9,10,2,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,10.0,cans danmaged on filler,17,Short Stop,True,False,False,False,False,2021,6,10,6,3,False
Machine Stop,Filler,PILZ system,Doors tripped,18.0,tripped in panel up stairs,17,Short Stop,False,False,True,False,False,2021,6,10,11,3,False
Machine Stop,Filler,Door,Fault not listed,18.0,filler door tripped - needed restting in panel,17,Short Stop,True,False,False,False,False,2021,6,11,0,4,False
Machine Stop,Filler,Bowl pressure,Pressure Control,4.0,,17,Short Stop,False,False,True,False,False,2021,6,11,19,4,False
Machine Stop,Filler,PILZ system,Full safety circuit tripped,11.0,crafts ivestigating - reset inside main panel needed,17,Short Stop,False,False,True,False,False,2021,6,11,20,4,False
Machine Stop,Filler,PILZ system,Full safety circuit tripped,25.0,all alarms on filler crafts re-setting alarms,17,Breakdown,False,True,False,False,False,2021,6,12,16,5,True
Machine Stop,Filler,In-feed scroll,Cans jammed,8.0,damaged can,17,Breakdown,False,False,True,False,False,2021,6,13,0,6,True
Machine Stop,Filler,In-feed scroll,Cans jammed,6.0,,17,Breakdown,False,False,True,False,False,2021,6,13,4,6,True
Machine Stop,Filler,In-feed scroll,Cans jammed,18.0,cans stuck in scroll,17,Breakdown,False,False,False,False,True,2021,6,13,7,6,True
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,14.0,all cans damaged coming into filler,17,Short Stop,False,False,False,False,True,2021,6,13,8,6,True
Machine Stop,Filler,In-feed scroll,Cans jammed,7.0,MB Cans jammed on the infeed scroll.,17,Short Stop,False,False,False,False,True,2021,6,13,12,6,True
Machine Stop,Filler,In-feed scroll,Cans jammed,7.0,can jammed in infeed scroll stopping can stop operator entering to remove,17,Short Stop,False,True,False,False,False,2021,6,13,22,6,True
Machine Stop,Filler,Clutch,Fault not listed,6.0,transfer chain,17,Short Stop,False,True,False,False,False,2021,6,14,20,0,False
Machine Stop,Filler,PILZ system,Full safety circuit tripped,8.0,,17,Short Stop,False,True,False,False,False,2021,6,14,21,0,False
Machine Stop,Filler,PILZ system,Full safety circuit tripped,6.0,all e stops lit up,17,Short Stop,False,True,False,False,False,2021,6,15,0,1,False
Machine Stop,Filler,Channel pressure,Pressure drop,1.0,,17,Short Stop,False,True,False,False,False,2021,6,15,1,1,False
Machine Stop,Filler,Channel pressure,Pressure drop,1.0,,17,Short Stop,False,True,False,False,False,2021,6,15,2,1,False
Machine Stop,Filler,Bowl pressure,Pressure Control,3.0,,17,Short Stop,False,True,False,False,False,2021,6,15,3,1,False
Machine Stop,Filler,Tappet chain,Fault not listed,18.0,Filler infeed jam causing severe tappet chain crash,17,Short Stop,True,False,False,False,False,2021,6,15,9,1,False
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,11.0,cans jammed on scroll,17,Short Stop,True,False,False,False,False,2021,6,15,9,1,False
Machine Stop,Filler,In-feed scroll,In-feed scroll dirty,13.0,"Frequent crashes at infeed scroll possibly due to dirty guide rails, guides, perspex and infeed scroll cleaned to see if issue can be resolved.resolves",17,Breakdown,True,False,False,False,False,2021,6,15,10,1,False
Machine Stop,Filler,In-feed scroll,In-feed scroll out of alignment,13.0,"Crashes at infeed scroll ongoing, crafts called to resolve issue",17,Breakdown,True,False,False,False,False,2021,6,15,10,1,False
Machine Stop,Filler,In-feed scroll,Lubrication failure,16.0,"Filler infeed conveyors cleaned and lubricated, infeed guides adjusted by crafts",17,Breakdown,True,False,False,False,False,2021,6,15,10,1,False
Machine Stop,Filler,In-feed scroll,Cans jammed,6.0,,17,Short Stop,True,False,False,False,False,2021,6,15,11,1,False
Machine Stop,Filler,Tappet chain,Fault not listed,18.0,Tappet chaIn crash followed by filler door tripping out,17,Breakdown,True,False,False,False,False,2021,6,15,12,1,False
Machine Stop,Filler,Tappet chain,Fault not listed,5.0,Tappet chain crash,17,Short Stop,True,False,False,False,False,2021,6,15,15,1,False
Machine Stop,Filler,In-feed scroll,Fault not listed,6.0,Cans jamming at infeed scroll causing crash at filler,17,Short Stop,True,False,False,False,False,2021,6,15,15,1,False
Machine Stop,Filler,Tappet chain,Fault not listed,7.0,tappet chain crash,17,Breakdown,True,False,False,False,False,2021,6,15,15,1,False
Machine Stop,Filler,In-feed scroll,Cans jammed,4.0,,17,Short Stop,True,False,False,False,False,2021,6,15,16,1,False
Machine Stop,Filler,In-feed scroll,Fault not listed,5.0,Crash at filler due to cans jamming at infeed scroll,17,Short Stop,True,False,False,False,False,2021,6,15,16,1,False
Machine Stop,Filler,In-feed scroll,Cans jammed,9.0,,17,Breakdown,True,False,False,False,False,2021,6,15,17,1,False
Machine Stop,Filler,In-feed scroll,Cans jammed,4.0,,17,Breakdown,True,False,False,False,False,2021,6,15,17,1,False
Machine Stop,Filler,Scroll,Fault not listed,7.0,MB Cans jammed in the infeed scroll. Bowl pressure dropped.,17,Short Stop,False,False,False,False,True,2021,6,15,22,1,False
Machine Stop,Filler,Scroll,Fault not listed,10.0,MB Cans jammed in the infeed scroll.,17,Short Stop,False,False,False,False,True,2021,6,15,22,1,False
Machine Stop,Filler,Scroll,Fault not listed,3.0,can jam,17,Short Stop,False,False,False,False,True,2021,6,15,22,1,False
Machine Stop,Filler,Scroll,Fault not listed,6.0,cana jam in scroll,17,Short Stop,False,False,False,False,True,2021,6,15,23,1,False
Machine Stop,Filler,In-feed scroll,Cans jammed,6.0,can hhan,17,Short Stop,False,False,False,False,True,2021,6,16,0,2,False
Machine Stop,Filler,Scroll,Fault not listed,5.0,MB Cans jammed in the infeed scroll. Bowl pressure dropped.,17,Short Stop,False,False,False,False,True,2021,6,16,2,2,False
Machine Stop,Filler,Door,Fault not listed,19.0,"opened door to remove jam,left hand front door stayed up,crafts freed",17,Breakdown,True,False,False,False,False,2021,6,16,10,2,False
Machine Stop,Filler,In-feed scroll,Fault not listed,6.0,damaged cans on scroll,17,Short Stop,True,False,False,False,False,2021,6,16,10,2,False
Machine Stop,Filler,Channel pressure,Pressure drop,16.0,,17,Breakdown,True,False,False,False,False,2021,6,16,17,2,False
Machine Stop,Filler,PILZ system,Panels tripped,3.0,all filler alarms displaying on screen,17,Short Stop,False,False,False,False,True,2021,6,16,20,2,False
Machine Stop,Filler,Bowl pressure,Fault not listed,4.0,PRESSURE DROP RING BOWL EMPTIED,17,Short Stop,False,False,True,False,False,2021,6,17,7,3,False
Machine Stop,Filler,Bowl pressure,Pressure Control,2.0,Pressure drop,17,Short Stop,False,False,True,False,False,2021,6,17,13,3,False
Machine Stop,Filler,Bowl pressure,Pressure Control,3.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,6,17,16,3,False
Machine Stop,Filler,Bowl pressure,Pressure Control,2.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,6,17,18,3,False
Machine Stop,Filler,Door,Fault not listed,27.0,"Left hand door would not close, twisted belt",17,Short Stop,True,False,False,False,False,2021,6,17,21,3,False
Machine Stop,Filler,PILZ system,Full safety circuit tripped,5.0,"filler constantly alarming,with emergency stop alarms,kept resetting run for a while and stop with alarms again,crafts monitoring",17,Breakdown,True,False,False,False,False,2021,6,18,2,4,False
Machine Stop,Filler,In-feed scroll,Cans jammed,9.0,,17,Short Stop,True,False,False,False,False,2021,6,18,4,4,False
Machine Stop,Filler,In-feed scroll,Cans jammed,15.0,Damaged cans jamming in scroll after build back,17,Breakdown,True,False,False,False,False,2021,6,18,6,4,False
Machine Stop,Filler,Bowl pressure,Pressure Control,8.0,,17,Breakdown,True,False,False,False,False,2021,6,18,6,4,False
Machine Stop,Filler,Bowl pressure,Pressure Control,2.0,Pressure drop,17,Short Stop,False,False,True,False,False,2021,6,18,10,4,False
Machine Stop,Filler,Bowl pressure,Pressure Control,3.0,Pressure drop,17,Short Stop,False,False,True,False,False,2021,6,18,15,4,False
Machine Stop,Filler,Bowl pressure,Pressure Control,2.0,Pressure drop.,17,Short Stop,False,False,True,False,False,2021,6,18,16,4,False
Machine Stop,Filler,Channel pressure,Pressure drop,3.0,,17,Short Stop,False,False,True,False,False,2021,6,18,18,4,False
Machine Stop,Filler,In-feed scroll,Cans jammed,5.0,,17,Breakdown,True,False,False,False,False,2021,6,19,1,5,True
Machine Stop,Filler,Tappet chain,Fault not listed,6.0,fallen casn on transfer to seamer,17,Short Stop,False,True,False,False,False,2021,6,19,9,5,True
Machine Stop,Filler,In-feed scroll,Cans jammed,18.0,npr damaged cans in infeed scroll,17,Short Stop,False,False,True,False,False,2021,6,19,21,5,True
Machine Stop,Filler,Door,Fault not listed,10.0,tripped out would not close,17,Short Stop,False,False,True,False,False,2021,6,19,22,5,True
Machine Stop,Filler,Filling heads,Fault not listed,34.0,head 25 not filling sniff valve sticking,17,Short Stop,False,False,True,False,False,2021,6,19,23,5,True
Machine Stop,Filler,In-feed scroll,Can quality coming into scroll,44.0,running out damaged cans from earlier fault,17,Short Stop,False,False,True,False,False,2021,6,20,4,6,True
Machine Stop,Filler,PILZ system,Panels tripped,9.0,all e stops alarmed,17,Short Stop,False,False,True,False,False,2021,6,20,6,6,True
Machine Stop,Filler,In-feed scroll,In-feed scroll dirty,15.0,cans jamming on infeed scroll operator removed all debriu and cleaned Area,17,Short Stop,False,True,False,False,False,2021,6,20,9,6,True
Machine Stop,Filler,Filling heads,Underfilling Head (Valves),13.0,operator investigating non filling head on filler which is causing seamer crashes,17,Short Stop,False,True,False,False,False,2021,6,20,10,6,True
